week,team,opponent,home,bye_prior_week,elo1_pre,elo_prob1,tot_dvoa,tot_dave,off_dvoa,def_dvoa,st_dvoa,opp_tot_dvoa,opp_tot_dave,opp_off_dvoa,opp_def_dvoa,opp_st_dvoa,net_tot_dvoa,net_tot_dave,net_off_dvoa,net_def_dvoa,net_st_dvoa,yards-per-play,opponent-yards-per-play,net-yards-per-play,points-per-game,opponent-points-per-game,net-points-per-game,team_score,opp_score,winner,total,margin
4,NE,MIA,1,0,1589.380125,0.695897335,-0.13,0.08,-0.01,0.09,-0.04,0.43,0.11,0.17,-0.22,0.04,-0.56,-0.03,-0.18,0.31,-0.08,5,5.8,-0.8,19,25.7,-6.7,38,7,1,45,31
4,NO,NYG,0,0,1579.887643,0.647104341,0.06,0.13,0.24,0.17,0,-0.22,-0.17,-0.06,0.12,-0.04,0.28,0.3,0.3,0.05,0.04,6.5,6.9,-0.4,34.7,34.3,0.4,33,18,1,51,15
4,NYG,NO,1,0,1409.556444,0.352895659,-0.22,-0.17,-0.06,0.12,-0.04,0.06,0.13,0.24,0.17,0,-0.28,-0.3,-0.3,-0.05,-0.04,5.1,5.9,-0.8,18.3,20.7,-2.4,18,33,0,51,-15
4,NYJ,JAX,0,0,1436.667133,0.256646398,0.14,-0.02,-0.27,-0.28,0.13,0.18,0.03,0,-0.14,0.03,-0.04,-0.05,-0.27,-0.14,0.1,5.3,4.6,0.7,25.7,19.3,6.4,12,31,0,43,-19
4,OAK,CLE,1,0,1416.438771,0.707645281,-0.21,-0.1,0.07,0.25,-0.03,-0.2,-0.09,-0.28,-0.22,-0.14,-0.01,-0.01,0.35,0.47,0.11,6.1,6.9,-0.8,17.3,27,-9.7,45,42,1,87,3
4,PHI,TEN,0,0,1639.04489,0.597495312,0.03,0.09,-0.03,-0.15,-0.09,-0.2,-0.07,-0.22,0.03,0.05,0.23,0.16,0.19,-0.18,-0.14,4.7,5.3,-0.6,19.7,18.3,1.4,23,26,0,49,-3
4,PIT,BAL,1,0,1581.035409,0.630856107,0,0.13,0.09,0.03,-0.06,0.21,0.1,0.04,-0.21,-0.04,-0.21,0.03,0.05,0.24,-0.02,6.3,5.9,0.4,29.3,30,-0.7,14,26,0,40,-12
4,SEA,ARI,0,0,1529.356639,0.568889466,0.02,0.03,-0.15,-0.16,0.02,-0.52,-0.26,-0.52,-0.03,-0.03,0.54,0.29,0.37,-0.13,0.05,4.7,5.4,-0.7,21.7,21.3,0.4,20,17,1,37,3
4,SF,LAC,0,0,1460.853619,0.320059397,-0.2,-0.18,-0.05,0.14,-0.02,0.02,0,0.3,0.15,-0.14,-0.22,-0.18,-0.35,-0.01,0.12,5.9,5.4,0.5,24.3,29.7,-5.4,27,29,0,56,-2
4,TB,CHI,0,0,1514.985292,0.465901824,-0.05,-0.05,0.21,0.21,-0.05,0.11,-0.03,-0.2,-0.28,0.03,-0.16,-0.02,0.41,0.49,-0.08,7.5,6.6,0.9,34,30.3,3.7,10,48,0,58,-38
4,TEN,PHI,1,0,1505.419466,0.402504688,-0.2,-0.07,-0.22,0.03,0.05,0.03,0.09,-0.03,-0.15,-0.09,-0.23,-0.16,-0.19,0.18,0.14,4.7,5.7,-1,16.3,16.7,-0.4,26,23,1,49,3
5,ARI,SF,0,0,1404.484151,0.34063847,-0.36,-0.23,-0.37,-0.07,-0.06,-0.26,-0.21,-0.16,0.05,-0.05,-0.1,-0.02,-0.21,-0.12,-0.01,4.2,5.5,-1.3,9.2,23.5,-14.3,28,18,1,46,10
5,ATL,PIT,0,0,1565.82372,0.433591672,-0.1,-0.02,0.1,0.18,-0.01,-0.06,0.07,0.01,0.04,-0.03,-0.04,-0.09,0.09,0.14,0.02,6.5,5.9,0.6,29,30.5,-1.5,17,41,0,58,-24
5,BAL,CLE,0,0,1586.73377,0.761250574,0.21,0.13,0.05,-0.18,-0.02,-0.23,-0.13,-0.26,-0.17,-0.14,0.44,0.26,0.31,-0.01,0.12,5.3,4.4,0.9,30.8,16.2,14.6,9,12,0,21,-3
5,BUF,TEN,1,0,1473.693039,0.523259593,-0.56,-0.39,-0.58,-0.01,0.01,-0.09,-0.04,-0.13,0,0.04,-0.47,-0.35,-0.45,-0.01,-0.03,3.7,5.3,-1.6,12.5,26.5,-14,13,12,1,25,1
5,CAR,NYG,1,1,1568.980237,0.802086564,0.12,0.04,0.14,0.07,0.05,-0.19,-0.17,-0.05,0.13,-0.02,0.31,0.21,0.19,-0.06,0.07,5.8,6,-0.2,23.7,20,3.7,33,31,1,64,2
